"icao","observed_utc","observed_local","flight_category","temp_c","dewpoint_c","rh_percent","wind_dir_deg","wind_kts","vis_m","altimeter_hg","conditions","clouds","raw_text","fetched_at_utc","fetched_at_local"
"CYAM",2025-09-05 15:38:00,2025-09-05 11:38:00,"MVFR",11,7,77,290,22,24100,29.41,NA,NA,"CYAM 051538Z 29022G30KT 15SM FEW008 FEW012 BKN021 OVC031 11/07 A2941 RMK SF1CF1CU3SC3 PRESRR SLP964 DENSITY ALT 900FT",2025-09-05 15:42:12.838896,2025-09-05 11:42:12.838896
"CYAM",2025-09-05 15:09:00,2025-09-05 11:09:00,"IFR",10,9,94,300,19,3200,29.38,NA,NA,"CYAM 051509Z 30019G32KT 2SM R12/5500VP6000FT/D -SHRA BR SCT007 BKN011 OVC019 10/09 A2938 RMK FG2SF1CF4CU1 PRESRR SLP955",2025-09-05 15:36:41.105615,2025-09-05 11:36:41.105615
"CYAT",2025-09-05 15:06:00,2025-09-05 11:06:00,"MVFR",8,6,87,170,9,14500,29.34,NA,NA,"CYAT 051506Z AUTO 17009G15KT 9SM SCT018 BKN024 BKN030 OVC039 08/06 A2934 RMK SLP939",2025-09-05 15:42:12.610483,2025-09-05 11:42:12.610483
"CYER",2025-09-05 15:00:00,2025-09-05 11:00:00,"MVFR",10,7,82,40,11,14500,29.38,NA,NA,"CYER 051500Z AUTO 04011KT 9SM BKN020 10/07 A2938 RMK SLP952",2025-09-05 15:42:12.457404,2025-09-05 11:42:12.457404
"CYGK",2025-09-05 15:00:00,2025-09-05 11:00:00,"VFR",19,15,78,170,15,24100,29.8,NA,NA,"CYGK 051500Z 17015G23KT 15SM FEW015 SCT250 19/15 A2980 RMK SC1CI3 SLP093 DENSITY ALT 1000FT",2025-09-05 15:42:13.214741,2025-09-05 11:42:13.214741
"CYMO",2025-09-05 15:12:00,2025-09-05 11:12:00,"VFR",12,8,77,170,12,14500,29.41,NA,NA,"CYMO 051512Z AUTO 17012G18KT 9SM -RA BKN066 OVC079 12/08 A2941 RMK SLP960 DENSITY ALT 300FT",2025-09-05 15:42:12.535596,2025-09-05 11:42:12.535596
"CYOW",2025-09-05 15:00:00,2025-09-05 11:00:00,"VFR",19,11,60,160,10,24100,29.81,NA,NA,"CYOW 051500Z 16010KT 15SM FEW030 FEW110 FEW200 19/11 A2981 RMK CU1AC1CI1 CU TR AC TR CI TR SLP097 DENSITY ALT 1100FT",2025-09-05 15:42:13.140675,2025-09-05 11:42:13.140675
"CYPL",2025-09-05 15:00:00,2025-09-05 11:00:00,"MVFR",4,3,93,300,11,14500,29.34,NA,NA,"CYPL 051500Z AUTO 30011G22KT 260V330 9SM -RA SCT011 OVC015 04/03 A2934 RMK SLP953",2025-09-05 15:42:12.687198,2025-09-05 11:42:12.687198
"CYQA",2025-09-05 15:39:00,2025-09-05 11:39:00,"VFR",16,12,77,190,13,14500,29.63,NA,NA,"CYQA 051539Z AUTO 19013G21KT 9SM -RA FEW033 BKN050 OVC066 16/12 A2963 RMK SLP037 DENSITY ALT 1600FT",2025-09-05 15:42:13.512438,2025-09-05 11:42:13.512438
"CYQA",2025-09-05 15:12:00,2025-09-05 11:12:00,"VFR",16,12,77,200,16,9700,29.64,NA,NA,"CYQA 051512Z AUTO 20016G31KT 6SM -RA FEW029 SCT050 BKN066 OVC086 16/12 A2964 RMK SLP040 DENSITY ALT 1600FT",2025-09-05 15:36:41.996297,2025-09-05 11:36:41.996297
